"business_name","business_type","post","rating","scores","date","local_authority"
"Home Bargains","Retailers - other","NE8 1AS","5","050","2014-08-07","Gateshead"
"Home Bargains","Retailers - other","NE21 5BT","5","500","2015-06-03","Gateshead"
"Home Brew Life","Retailers - other","NE10 9LU","5","005","2016-05-04","Gateshead"
"Home Producer","Retailers - other",NA,"AwaitingInspection","","","Gateshead"
"Homemade","Other catering premises",NA,"5","505","2015-07-17","Gateshead"
"Hope N All Hours","Retailers - other","NE9 5SJ","4","5510","2015-08-12","Gateshead"
"Hot & Cold Sarnie Bar","Retailers - other","NE8 1UA","AwaitingInspection","","","Gateshead"
"Hot Roast Heaven","Mobile caterer","NE11 0BD","5","505","2016-10-06","Gateshead"
"Hot Stuff","Mobile caterer","NE8 2RD","4","1005","2016-07-12","Gateshead"
"Hot Stuff","Mobile caterer","NE10 0EW","5","555","2015-07-14","Gateshead"
"Hot Way Take Away","Takeaway/sandwich shop","NE9 7JR","3","51010","2017-03-13","Gateshead"
"Hot Wok","Mobile caterer","NE11 0PZ","3","101010","2014-11-13","Gateshead"
"Hotel Chocolat","Retailers - other","NE11 9YR","4","5010","2016-05-04","Gateshead"
"Hotel Michelangelo","Hotel/bed & breakfast/guest house","NE21 4LU","4","01010","2016-06-17","Gateshead"
"Hung Hing Chinese Take Away","Takeaway/sandwich shop","NE11 9AX","3","101010","2015-08-19","Gateshead"
"Hungry Horse","Pub/bar/nightclub","NE11 9XS","5","500","2014-07-28","Gateshead"
"Hutchinsons","Retailers - other","NE21 5BT","4","5510","2016-03-10","Gateshead"
"I Fry","Takeaway/sandwich shop","DH3 2QG","5","005","2016-10-06","Gateshead"
"Ibos Take Away","Takeaway/sandwich shop","NE8 4JR","3","101010","2016-11-30","Gateshead"
"Iceland","Retailers - supermarkets/hypermarkets","NE8 1BH","5","505","2014-08-07","Gateshead"
"Iceland","Retailers - supermarkets/hypermarkets","NE21 5BT","5","005","2016-04-18","Gateshead"
"Ikea","Restaurant/Cafe/Canteen","NE11 9XS","5","000","2016-02-17","Gateshead"
"Imperia Bingo","Restaurant/Cafe/Canteen","NE10 9LX","5","505","2014-08-01","Gateshead"
"In A Pickle","Takeaway/sandwich shop","NE21 5HX","5","555","2016-01-25","Gateshead"
"In Leisure Catering","Other catering premises","NE21 6DF","5","550","2015-01-13","Gateshead"
"Incredible Cake Toppers","Other catering premises",NA,"5","555","2017-01-12","Gateshead"
"Indian Kitchen","Other catering premises",NA,"5","050","2016-05-09","Gateshead"
"Interchange News","Retailers - other","NE8 1BH","4","5105","2016-03-22","Gateshead"
"Istanbul Kebab And Pizza House","Takeaway/sandwich shop","NE11 9AE","1","102020","2016-06-20","Gateshead"
"Istanbul Store","Retailers - other","NE8 1QL","AwaitingInspection","","","Gateshead"
"Its Time For Tea","Restaurant/Cafe/Canteen","NE8 4BQ","3","101010","2015-10-29","Gateshead"
"Itzza Pizza","Takeaway/sandwich shop","NE9 5EY","3","101010","2015-11-19","Gateshead"
"Ivan's","Retailers - other","NE8 4DU","5","555","2013-06-06","Gateshead"
"J Hutchinson","Retailers - other","NE8 1BH","5","555","2014-08-07","Gateshead"
"J M Stores","Retailers - other","NE8 3TT","5","555","2017-01-25","Gateshead"
"J Stobo's","Retailers - other","NE40 4TX","4","0510","2016-05-04","Gateshead"
"J Swinburn","Retailers - other","NE16 5EQ","5","050","2014-10-07","Gateshead"
"J&S Retailers","Retailers - other","NE8 2QX","5","505","2016-10-05","Gateshead"
"Jackson Street News","Retailers - other","NE8 1EE","5","550","2015-12-23","Gateshead"
"Jacksons Sandwich Bar","Takeaway/sandwich shop","NE8 1EE","5","555","2016-03-10","Gateshead"
"Jamdani Restaurant","Restaurant/Cafe/Canteen","NE16 4JB","5","550","2016-02-01","Gateshead"
"Janine's Cupcake Company","Other catering premises",NA,"4","0010","2014-04-07","Gateshead"
"Jashn","Restaurant/Cafe/Canteen","NE16 3BP","5","555","2016-02-17","Gateshead"
"Jaspers Newcastle Limited","Other catering premises","NE11 0NN","5","005","2014-07-25","Gateshead"
"Jay & Lees News, Food And Wine","Retailers - other","NE10 0AQ","4","5510","2016-02-03","Gateshead"
"Jaz & Jays Golden Fry Inn","Takeaway/sandwich shop","NE10 0QU","2","101510","2016-06-27","Gateshead"
"Jeannie's Cake Crumbs","Other catering premises",NA,"5","000","2014-09-23","Gateshead"
"Jem's Cake Place","Other catering premises",NA,"5","005","2015-08-24","Gateshead"
"Jenny Hall","Retailers - other","NE8 4JT","5","555","2014-07-03","Gateshead"
"Jewel In The Crown","Takeaway/sandwich shop","DH3 1QF","4","1055","2016-11-24","Gateshead"
"JG Bites","Mobile caterer","NE11 0JU","4","01010","2014-05-22","Gateshead"
"Jimmy's Masterwhip","Mobile caterer",NA,"4","5010","2014-07-17","Gateshead"
"Jimmy's Masterwhip","Mobile caterer",NA,"4","5010","2014-07-17","Gateshead"
"JJ's Kitchen","Restaurant/Cafe/Canteen","NE8 3AH","5","555","2015-04-28","Gateshead"
"Joans Park Shop","Retailers - other","NE39 1LG","5","555","2014-09-25","Gateshead"
"Joe Delucci's Limited","Retailers - other","NE11 9YD","4","5010","2017-02-01","Gateshead"
"Joseph Swan Academy (Kitchen)","School/college/university","NE9 6LE","5","550","2016-11-03","Gateshead"
"JT&B Craig Newsagents","Retailers - other","NE8 1XS","3","10510","2016-02-01","Gateshead"
"Jubilee Tandoori","Takeaway/sandwich shop","NE40 4HL","3","101010","2016-12-12","Gateshead"
"Jump Arena Gateshead","Restaurant/Cafe/Canteen","NE11 9DJ","AwaitingInspection","","","Gateshead"
"Jurys Inn","Hotel/bed & breakfast/guest house","NE8 3AE","5","505","2016-02-09","Gateshead"
"Just Learning","Hospitals/Childcare/Caring Premises","NE21 5LU","5","050","2016-06-14","Gateshead"
"K&A Pharmacy","Retailers - other","NE8 4BQ","5","050","2014-06-19","Gateshead"
"Kai Foods Limited","Retailers - other","NE8 1EQ","AwaitingInspection","","","Gateshead"
"Kandola Bros","Retailers - other","NE39 2JT","4","5510","2016-01-29","Gateshead"
"Kandola Brothers","Retailers - other","NE21 5AW","4","5510","2016-06-28","Gateshead"
"Kandola Convenience Store","Retailers - other","NE11 9AE","4","5510","2016-01-26","Gateshead"
"Kaurs Supermarket","Retailers - other","NE11 0XE","5","555","2016-04-19","Gateshead"
"Kebab Express","Takeaway/sandwich shop","NE11 9EE","AwaitingInspection","","","Gateshead"
"Keller Cellar","Retailers - other","NE10 9TS","4","5510","2015-09-08","Gateshead"
"Kells Lane Primary School (Kitchen)","School/college/university","NE9 5HX","5","000","2015-03-23","Gateshead"
"Kellsway Centre","Other catering premises","NE39 1LE","5","555","2014-10-03","Gateshead"
"Kellys","Mobile caterer","NE16 3BN","5","555","2016-08-03","Gateshead"
"Kelvin Grove Primary School (Kitchen)","School/college/university","NE8 4UN","5","050","2015-06-16","Gateshead"
"Kentoci Cafe","Restaurant/Cafe/Canteen","NE21 5BT","2","101510","2016-11-18","Gateshead"
"KFC","Restaurant/Cafe/Canteen","NE16 3BE","5","055","2015-09-09","Gateshead"
"KFC","Restaurant/Cafe/Canteen","NE10 0AZ","5","005","2016-04-27","Gateshead"
"KFC (Blue Mall)","Restaurant/Cafe/Canteen","NE11 9YZ","5","000","2016-03-22","Gateshead"
"KFC (The Qube)","Restaurant/Cafe/Canteen","NE11 9XY","5","055","2016-07-19","Gateshead"
"Khan Tandoori","Takeaway/sandwich shop","NE16 5LP","3","101010","2016-06-21","Gateshead"
"Khindas Fish and Chips","Takeaway/sandwich shop","NE9 6AP","5","000","2014-07-28","Gateshead"
"Kibblesworth Academy (Kitchen)","School/college/university","NE11 0XP","5","050","2015-05-07","Gateshead"
"Kibblesworth Support Unit","Hospitals/Childcare/Caring Premises","NE11 0YJ","4","5010","2016-02-05","Gateshead"
"Kibblesworth Workingmens Club","Pub/bar/nightclub","NE11 0XX","5","555","2014-10-31","Gateshead"
"Kids 1st","Hospitals/Childcare/Caring Premises","NE9 5AT","5","500","2016-06-06","Gateshead"
"King Grill & Pizza","Takeaway/sandwich shop","NE10 9LU","AwaitingInspection","","","Gateshead"
"King James Hospital","Hospitals/Childcare/Caring Premises","NE8 3EY","5","505","2016-10-11","Gateshead"
"King Whippy","Mobile caterer",NA,"5","005","2016-02-25","Gateshead"
"Kings Cafe","Mobile caterer",NA,"AwaitingInspection","","","Gateshead"
"Kingsmeadow Comprehensive School (Kitchen)","School/college/university","NE11 9NX","5","000","2014-04-01","Gateshead"
"Kitchen Kuzzins","Restaurant/Cafe/Canteen","NE21 6AE","4","5510","2015-10-27","Gateshead"
"Knox","Retailers - other","NE8 4TP","4","01010","2015-10-01","Gateshead"
"Komatsu UK Limited Catering","Restaurant/Cafe/Canteen","DH3 2QX","5","050","2013-10-24","Gateshead"
"Krispy Kreme","Takeaway/sandwich shop","NE11 9XU","5","000","2017-03-06","Gateshead"
"Kubus General Dealers","Retailers - other","NE8 1SQ","1","15520","2017-01-30","Gateshead"
"Kular Stores","Retailers - other","NE11 0AT","5","555","2013-06-19","Gateshead"
"Kurdish Bakery","Manufacturers/packers","NE8 1QP","3","101010","2016-01-25","Gateshead"
"Kylin","Takeaway/sandwich shop","NE8 1EQ","3","10510","2016-03-31","Gateshead"
"L & W News","Retailers - other","NE11 0BE","AwaitingInspection","","","Gateshead"
"L Oxley","Takeaway/sandwich shop","NE16 4AB","4","0100","2016-08-03","Gateshead"
"L&D Fruits","Retailers - other","NE40 3HQ","3","51010","2014-10-24","Gateshead"
"Lafarge Tarmac (Catering)","Restaurant/Cafe/Canteen","DH3 2SS","5","000","2016-02-05","Gateshead"
"Lakeland","Retailers - other","NE11 9YR","5","000","2015-05-08","Gateshead"
"Lambs Arms Inn","Pub/bar/nightclub","NE40 4HJ","5","555","2014-09-10","Gateshead"
"Lancastrian Suite","Restaurant/Cafe/Canteen","NE11 9JR","4","5105","2015-01-13","Gateshead"
"Lanchester Court","Hospitals/Childcare/Caring Premises","NE9 7AL","4","5510","2016-07-07","Gateshead"
"Lanchester Wine Cellars Limited","Distributors/Transporters","NE10 0EX","AwaitingInspection","","","Gateshead"
"Larkspur Primary School (Kitchen)","School/college/university","NE9 6SS","5","050","2012-02-10","Gateshead"
"Last Days Of The Raj","Takeaway/sandwich shop","NE8 4JR","3","10510","2017-02-22","Gateshead"
"Le Bon Gout","Other catering premises",NA,"4","5510","2014-11-10","Gateshead"
"Leam Lane Chinese Take Away","Takeaway/sandwich shop","NE10 8UN","5","050","2016-03-31","Gateshead"
"Leam Lane Community Centre","Other catering premises","NE10 8QH","4","5010","2016-08-24","Gateshead"
"Leam Lane Day Care","Hospitals/Childcare/Caring Premises","NE10 8QH","5","055","2016-01-07","Gateshead"
"Leam Lane Social Club","Pub/bar/nightclub","NE10 8XQ","4","01010","2016-03-22","Gateshead"
"Leam Rangers YFC","Pub/bar/nightclub","NE10 8LT","5","555","2014-09-22","Gateshead"
"Leigh's Montessori","Hospitals/Childcare/Caring Premises","NE8 4LD","5","055","2016-02-17","Gateshead"
"Lennons News","Retailers - other","NE11 9HE","4","01010","2016-01-26","Gateshead"
"Leonardos","Takeaway/sandwich shop","NE40 4HJ","3","101010","2016-11-26","Gateshead"
"Let Them Eat Cakes","Other catering premises",NA,"5","005","2016-04-25","Gateshead"
"Leybourne Fisheries","Takeaway/sandwich shop","DH3 1QF","1","101520","2017-03-28","Gateshead"
"LG Coffee Bar","Restaurant/Cafe/Canteen","NE16 4SH","5","050","2016-06-15","Gateshead"
"Lidl","Retailers - supermarkets/hypermarkets","NE10 0QD","AwaitingInspection","","","Gateshead"
"Lidl","Retailers - supermarkets/hypermarkets","NE9 7JR","5","000","2012-09-14","Gateshead"
"Lidl","Retailers - supermarkets/hypermarkets","NE16 3AF","5","000","2012-08-22","Gateshead"
"Life Style","Retailers - other","NE11 9XJ","4","5510","2015-08-20","Gateshead"
"Lifestyle","Retailers - other","NE21 5ER","4","5010","2016-03-31","Gateshead"
"Lila's Pantry","Restaurant/Cafe/Canteen","NE10 9XD","AwaitingInspection","","","Gateshead"
"Lindisfarne Care Home","Hospitals/Childcare/Caring Premises","DH3 1LU","5","005","2015-10-13","Gateshead"
"Lindisfarne Nursing Home","Hospitals/Childcare/Caring Premises","NE40 4TS","5","000","2016-12-03","Gateshead"
"Lingey House Primary School (Kitchen)","School/college/university","NE10 8DN","5","050","2015-06-16","Gateshead"
"Linos Pizza & Grill Bar","Takeaway/sandwich shop","NE10 0QR","1","51020","2017-03-13","Gateshead"
"Lintzford Lunch Stop","Retailers - other","NE39 1NB","AwaitingInspection","","","Gateshead"
"Liquormart","Retailers - other","NE8 1SR","5","005","2016-06-22","Gateshead"
"Lisas Little Tea Room","Restaurant/Cafe/Canteen","NE40 3BB","4","0010","2015-07-09","Gateshead"
"Little Bites","Restaurant/Cafe/Canteen","NE11 0XN","AwaitingInspection","","","Gateshead"
"Little Bites","Restaurant/Cafe/Canteen","NE8 1QB","5","005","2015-11-02","Gateshead"
"Little Chip","Takeaway/sandwich shop","NE8 4JT","5","050","2016-07-13","Gateshead"
"Little Hearts Pre School","Hospitals/Childcare/Caring Premises","NE16 6NU","5","555","2014-11-04","Gateshead"
"Little Rascals","Hospitals/Childcare/Caring Premises","NE10 0QY","5","555","2014-11-03","Gateshead"
"Liz's Supper Club","Mobile caterer",NA,"AwaitingInspection","","","Gateshead"
"Lloyds Pharmacy","Retailers - other","DH3 2PE","5","050","2014-04-09","Gateshead"
"Lloyds Pharmacy","Retailers - other","NE9 7JN","5","505","2014-04-10","Gateshead"
"Lloyds Pharmacy","Retailers - other","NE40 4AX","5","050","2014-06-12","Gateshead"
"Lobley Hill Fish Bar","Takeaway/sandwich shop","NE11 9LJ","3","51010","2017-03-02","Gateshead"
"Lobley Hill Post Office","Retailers - other","NE11 0AT","4","1055","2014-10-21","Gateshead"
"Lobley Hill Primary School (Kitchen)","School/college/university","NE11 0AT","5","000","2016-02-04","Gateshead"
"Lobley Hill Youth And Community Centre","Other catering premises","NE11 9LS","2","0150","2014-11-25","Gateshead"
"Local News Pelaw","Retailers - other","NE10 0QU","5","555","2014-05-09","Gateshead"
"Londis","Retailers - other","NE10 8SR","5","555","2014-06-05","Gateshead"
"Lord Lawson Of Beamish School (Kitchen)","School/college/university","DH3 2LP","5","000","2016-07-18","Gateshead"
"Lotus Express","Takeaway/sandwich shop","NE17 7HU","3","101010","2016-07-08","Gateshead"
"Lotus Leaf","Restaurant/Cafe/Canteen","DH3 1LU","5","055","2015-08-28","Gateshead"
"Love Coffee","Restaurant/Cafe/Canteen","NE11 9YZ","5","005","2016-09-21","Gateshead"
"Low Fell Newsagents","Retailers - other","NE9 6JA","AwaitingInspection","","","Gateshead"
"Low Fell Pizza","Takeaway/sandwich shop","NE9 5EU","3","101010","2016-12-13","Gateshead"
"Lucky Dragon","Restaurant/Cafe/Canteen","NE9 6HX","2","101510","2016-03-15","Gateshead"
"Lyndhurst Bowling Club","Other catering premises","NE9  6AR","5","555","2014-09-16","Gateshead"
"Lyndhurst Grove Home","Hospitals/Childcare/Caring Premises","NE9 6AU","5","005","2014-08-15","Gateshead"
"Lyndhurst Post Office","Retailers - other","NE9 6PY","4","0010","2015-12-15","Gateshead"
"M R Crowder Limited","Retailers - other","NE16 5LP","5","505","2014-05-15","Gateshead"
"M&E Catering","Other catering premises",NA,"4","5010","2014-05-28","Gateshead"
"M&M Pizzeria","Takeaway/sandwich shop","NE9 7JN","1","5520","2017-03-13","Gateshead"
"M&M's Fish & Chips Shop","Restaurant/Cafe/Canteen","NE8 1EP","5","555","2016-07-21","Gateshead"
"Magda's Cakes","Other catering premises",NA,"5","000","2016-05-04","Gateshead"
"Magic Candy Factory","Retailers - other","NE11 9YD","AwaitingInspection","","","Gateshead"
"Maguires","Takeaway/sandwich shop","NE16 3AA","5","050","2013-08-06","Gateshead"
"Maguires","Takeaway/sandwich shop","NE39 1QG","5","000","2016-02-09","Gateshead"
"Mailbox","Mobile caterer",NA,"AwaitingInspection","","","Gateshead"
"Malthurst Fuels Limited","Retailers - other","NE11 0UH","5","555","2016-05-09","Gateshead"
"Malthurst Fuels Limited","Retailers - other","DH3 2AH","5","005","2016-05-09","Gateshead"
"Malthurst Limited","Retailers - other","NE10 0NR","4","0010","2014-07-31","Gateshead"
"Malthurst Limited","Retailers - other","NE21 5PG","5","555","2017-01-30","Gateshead"
"Malting House Inn","Pub/bar/nightclub","NE10 0HQ","5","555","2016-07-05","Gateshead"
"Mama Mia Pizza","Takeaway/sandwich shop","NE8 1EQ","AwaitingInspection","","","Gateshead"
"Mama Rosa","Takeaway/sandwich shop","NE39 2LS","AwaitingInspection","","","Gateshead"
"Mamma Rosa","Restaurant/Cafe/Canteen","NE11 9DU","3","51010","2015-06-29","Gateshead"
"Market Cafe","Restaurant/Cafe/Canteen","NE11 0RQ","AwaitingInspection","","","Gateshead"
"Marks & Spencer","Retailers - supermarkets/hypermarkets","NE11 9YD","5","000","2016-02-01","Gateshead"
"Marks & Spencer Simply Foods","Retailers - supermarkets/hypermarkets","NE11 0BD","5","000","2013-09-25","Gateshead"
"Marquis Of Granby","Pub/bar/nightclub","NE16 5ES","5","555","2015-06-16","Gateshead"
"Marquisway Day Centre","Restaurant/Cafe/Canteen","NE11 0RS","5","000","2016-06-20","Gateshead"
"Marriott Hotel Metrocentre","Hotel/bed & breakfast/guest house","NE11 9XF","5","000","2016-01-19","Gateshead"
"Marshalls","Takeaway/sandwich shop","NE9 7JD","5","555","2015-09-10","Gateshead"
"Marshalls Express","Takeaway/sandwich shop","NE11 0EN","5","000","2015-06-01","Gateshead"
"Martin Baxter","Manufacturers/packers","DH3 2QH","4","5510","2016-01-18","Gateshead"
"Martin The Newsagent Limited","Retailers - other","NE16 5BY","5","555","2014-05-09","Gateshead"
"Martins","Retailers - other","NE10 8XQ","4","01010","2016-05-04","Gateshead"
"McColls","Retailers - other","NE9 6NF","AwaitingInspection","","","Gateshead"
"McColls","Retailers - other","NE9 5EX","3","51010","2016-03-08","Gateshead"
"McColls","Retailers - other","NE16 5QU","2","101510","2016-05-12","Gateshead"
"McCutcheon Newsagents Limited","Retailers - other","NE21 6DD","5","050","2014-05-08","Gateshead"
"McDonalds","Restaurant/Cafe/Canteen","NE11 0BD","5","000","2015-07-03","Gateshead"
"McDonalds","Restaurant/Cafe/Canteen","NE21 5BT","5","050","2016-02-08","Gateshead"
"McDonalds","Restaurant/Cafe/Canteen","NE8 3EJ","5","000","2016-03-22","Gateshead"
"McDonalds (Green)","Restaurant/Cafe/Canteen","NE11 9YR","5","550","2014-07-24","Gateshead"
"McDonalds (Qube)","Restaurant/Cafe/Canteen","NE11 9XY","5","000","2016-09-13","Gateshead"
"McDonalds (Retail Park)","Restaurant/Cafe/Canteen","NE11 9XU","5","050","2015-07-15","Gateshead"
"Meadowfield","Hospitals/Childcare/Caring Premises","NE8 4AP","5","005","2014-08-06","Gateshead"
"Meaty Events","Mobile caterer",NA,"5","555","2014-09-03","Gateshead"
"Mecca Bingo","Restaurant/Cafe/Canteen","NE8 3AR","5","550","2014-04-14","Gateshead"
"Mediterranean Kitchen","Takeaway/sandwich shop","NE8 1QL","AwaitingInspection","","","Gateshead"
"Meet And Greet","Restaurant/Cafe/Canteen","NE10 0YA","4","0510","2016-08-01","Gateshead"
"Melon Yard Cafe","Restaurant/Cafe/Canteen","NE11 9DJ","5","005","2014-06-04","Gateshead"
"Memory Lane","Takeaway/sandwich shop","NE8 3JW","AwaitingInspection","","","Gateshead"
"Meresyde Off License","Retailers - other","NE10 8UN","4","5010","2012-05-03","Gateshead"
"Methodist Church Hall","Other catering premises","NE16 5NA","5","555","2014-09-10","Gateshead"
"Metropole","Pub/bar/nightclub","NE8 1AQ","5","005","2015-04-29","Gateshead"
"Miah Restaurant","Restaurant/Cafe/Canteen","NE40 3HF","1","101020","2017-03-02","Gateshead"
"Miami's","Mobile caterer","NE9 7UB","5","555","2014-07-31","Gateshead"
"Michael McCracken","Mobile caterer",NA,"AwaitingInspection","","","Gateshead"
"Millies Cookies (Red Mall)","Retailers - other","NE11 9YR","5","505","2014-06-27","Gateshead"
"Ming Kitchen","Takeaway/sandwich shop","NE9 5EY","3","101010","2017-03-21","Gateshead"
"Ming Wong","Takeaway/sandwich shop","NE16 5LP","5","505","2016-02-17","Gateshead"
"Miss P's Coffee House","Restaurant/Cafe/Canteen","NE21 6DU","AwaitingInspection","","","Gateshead"
"Mister Twisters","Restaurant/Cafe/Canteen","NE10 8YF","5","505","2016-06-27","Gateshead"
"MOD Pizza","Restaurant/Cafe/Canteen","NE11 9HX","5","050","2017-02-14","Gateshead"
"Mohims","Takeaway/sandwich shop","DH3 2QJ","3","101010","2016-11-24","Gateshead"
"Moma’s kitchen","Manufacturers/packers",NA,"5","005","2014-12-18","Gateshead"
"Monster Muncher","Mobile caterer","NE11 0HQ","5","000","2014-07-25","Gateshead"
"Monsun","Restaurant/Cafe/Canteen","NE9 6HU","4","5510","2017-03-15","Gateshead"
"Morrisons","Retailers - supermarkets/hypermarkets","NE21 5BT","5","000","2016-09-21","Gateshead"
"Morrisons","Retailers - supermarkets/hypermarkets","DH3 2QH","5","000","2015-10-22","Gateshead"
"Mo's Pizza","Takeaway/sandwich shop","NE8 1EN","2","101510","2016-06-08","Gateshead"
"Moti Jheel","Takeaway/sandwich shop","NE16 4JJ","4","0010","2016-02-09","Gateshead"
"Moti Mahal Tandoori Takeaway","Takeaway/sandwich shop","NE11 9XJ","4","1055","2016-06-28","Gateshead"
"Motorpoint Cafe","Restaurant/Cafe/Canteen","DH3 2BQ","AwaitingInspection","","","Gateshead"
"Moulin Rouge Pizza","Takeaway/sandwich shop","NE21 6DD","3","101010","2017-01-12","Gateshead"
"Movenpick","Restaurant/Cafe/Canteen","NE11 9XZ","AwaitingInspection","","","Gateshead"
"Mr Baker","Manufacturers/packers","DH3 2PS","4","5105","2014-04-28","Gateshead"
"Mr Chucky","Mobile caterer","NE16 3BN","AwaitingInspection","","","Gateshead"
"Mr Kandola","Retailers - other","NE17 7DG","3","10510","2014-10-01","Gateshead"
"Mr Koolz","Restaurant/Cafe/Canteen","NE8 1SR","AwaitingInspection","","","Gateshead"
"Mr Pretzels","Retailers - other","NE11 9YG","5","055","2015-10-05","Gateshead"
"Mrs Buffet Catering","Mobile caterer",NA,"5","005","2017-03-15","Gateshead"
"Muffin Break","Restaurant/Cafe/Canteen","NE11 9XZ","4","1055","2016-11-26","Gateshead"
"Mulberry Bush Nursery","Hospitals/Childcare/Caring Premises","NE9 7JQ","5","050","2015-10-29","Gateshead"
"Mulberry Bush Nursery","Hospitals/Childcare/Caring Premises","DH3 1LX","5","555","2016-05-17","Gateshead"
"Mushy Pizza","Takeaway/sandwich shop","NE16 3JJ","3","10510","2016-08-31","Gateshead"
"MW Custom Cakes","Other catering premises",NA,"5","005","2013-07-02","Gateshead"
"N Bamling And Son","Retailers - other","NE10 9PU","4","0510","2016-05-10","Gateshead"
"N&B Chemist Limited","Retailers - other","NE8 1YN","5","505","2014-06-06","Gateshead"
"Nafiza's Restaurant And Take Away","Restaurant/Cafe/Canteen","NE9 6BX","3","101010","2015-10-14","Gateshead"
"Namco Funscape","Restaurant/Cafe/Canteen","NE11 9XZ","5","005","2014-07-29","Gateshead"
"Nando's","Restaurant/Cafe/Canteen","NE8 1AG","5","000","2016-02-17","Gateshead"
"Nando's (Blue Mall)","Restaurant/Cafe/Canteen","NE11 9YZ","5","000","2016-02-05","Gateshead"
"Nando's (The Qube)","Restaurant/Cafe/Canteen","NE11 9XZ","5","005","2016-01-29","Gateshead"
"National Probation Service Catering","Restaurant/Cafe/Canteen","NE8 2SH","5","000","2016-03-08","Gateshead"
"National Trust Shop/Cafe","Restaurant/Cafe/Canteen","NE16 6BG","5","000","2016-10-05","Gateshead"
"Naturally Sweet","Mobile caterer",NA,"AwaitingInspection","","","Gateshead"
"Naz","Restaurant/Cafe/Canteen","NE11 0RQ","4","01010","2016-06-20","Gateshead"
"NEC Catering","Mobile caterer",NA,"4","1005","2017-01-30","Gateshead"
"Ness Foods Limited","Manufacturers/packers","NE8 1UB","5","555","2017-03-15","Gateshead"
"New Garden Chinese Takeaway","Takeaway/sandwich shop","NE10 0QU","5","055","2013-07-09","Gateshead"
"New Mithali Balti","Takeaway/sandwich shop","NE10 9NA","1","5520","2017-03-23","Gateshead"
"New Ocean Cottage","Takeaway/sandwich shop","NE8 3QP","3","10510","2016-11-25","Gateshead"
"New Ridgeway Chop Suey House","Takeaway/sandwich shop","NE10 8DH","2","101510","2017-02-16","Gateshead"
"New West End Social Club","Pub/bar/nightclub","NE21 6PQ","5","555","2014-09-24","Gateshead"
"New York Deli","Manufacturers/packers","NE11 9EW","4","5010","2014-02-04","Gateshead"
"New York Diner","Mobile caterer","NE11 0RS","4","0510","2016-12-12","Gateshead"
"New York Grill","Mobile caterer","DH3 1DG","5","505","2014-06-17","Gateshead"
"News 4 U","Retailers - other","NE21 5BT","5","555","2016-10-18","Gateshead"
"Nicola's Cup Cakes","Other catering premises",NA,"5","000","2015-10-05","Gateshead"
"Nisa","Retailers - other","NE9 5HR","4","5010","2013-10-22","Gateshead"
"Nisa","Retailers - other","NE8 1SQ","4","0105","2016-12-12","Gateshead"
"Nisa","Retailers - other","DH3 1HU","4","0010","2016-05-04","Gateshead"
"Nisa","Retailers - other","NE8 4TE","4","01010","2015-08-11","Gateshead"
"Nisa Local","Retailers - other","NE10 8XQ","4","5510","2014-07-11","Gateshead"
"Nisa Local/One Stop","Retailers - other","NE40 4NB","4","5510","2014-08-20","Gateshead"
"Nisha's Tandoori","Restaurant/Cafe/Canteen","NE16 3AD","5","555","2016-01-27","Gateshead"
"No Muu","Other catering premises",NA,"5","005","2014-06-03","Gateshead"
"Nomies Deckham Deli","Retailers - other","NE9 5QH","1","151520","2016-04-20","Gateshead"
"Norfolk Food Market","Retailers - other","DH3 2DQ","4","5510","2014-07-23","Gateshead"
"North East Plant Sales Limited Catering","Other catering premises","DH3 1QZ","5","005","2016-07-25","Gateshead"
"Northbourne House","Hospitals/Childcare/Caring Premises","NE9 5AR","5","005","2015-10-29","Gateshead"
"NSD Limited","Distributors/Transporters","NE8 3AH","5","555","2014-05-07","Gateshead"
"Oakfield Infant School (Kitchen)","School/college/university","NE9 5JH","5","050","2015-06-16","Gateshead"
"Oakwood General Dealers","Retailers - other","NE10 8LU","4","0010","2016-05-09","Gateshead"
"O'Briens Diner","Mobile caterer","DH3 2BQ","AwaitingInspection","","","Gateshead"
"O'Briens Sandwich Bar","Takeaway/sandwich shop","NE11 0BE","5","555","2016-12-01","Gateshead"
"Odeon","Retailers - other","NE11 9XZ","5","005","2016-02-05","Gateshead"
"O'Donnells","Mobile caterer",NA,"4","5510","2015-11-16","Gateshead"
"O'Keefes","Pub/bar/nightclub","NE8 1EN","4","5510","2014-12-22","Gateshead"
"Oli & Joes","Restaurant/Cafe/Canteen","NE40 3HQ","5","555","2016-10-31","Gateshead"
"Oli and Joes","Restaurant/Cafe/Canteen","NE16 4DT","4","10100","2016-06-29","Gateshead"
"One Stop Stores Limited","Retailers - other","DH3 1HT","5","555","2014-04-09","Gateshead"
"One Stop Stores Limited","Retailers - other","DH3 2DE","5","000","2014-04-09","Gateshead"
"Onestop","Retailers - other","NE10 8XQ","5","555","2016-05-10","Gateshead"
"Orangery Cafe","Restaurant/Cafe/Canteen","NE16 4JL","4","0010","2014-08-12","Gateshead"
"Original Bakehouse Limited","Manufacturers/packers","NE11 0JF","3","51010","2015-06-25","Gateshead"
"Original Bakehouse Limited","Manufacturers/packers","NE16 4DN","5","505","2016-02-19","Gateshead"
"Pachino Pizza","Takeaway/sandwich shop","NE21 5HH","3","101010","2016-06-14","Gateshead"
